video_name,vid,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,target_encode_energy_uj,decode_energy_uj,total_energy_uj
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5956076,357,33.901474,29.796339,40,1551.4191911864743,56.87992466530477,1608.299115851779
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5956076,132,30.882082,3.207578,50,1363.882720149625,46.958980918676914,1410.8417010683015
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_720p,720,1280,720,yuv420p,59.94006309,5956076,15617,38.591295,76.379569,10,2426.810164887449,136.4680097837316,2563.2781746711808
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_720p,720,1280,720,yuv420p,59.94006309,5956076,3655,37.642375,65.95334,20,1382.686407628774,66.79602694368448,1449.4824345724585
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_720p,720,1280,720,yuv420p,59.94006309,5956076,798,35.612522,43.099345,30,936.0097189663572,38.64490735,974.6546263
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_720p,720,1280,720,yuv420p,59.94006309,5956076,181,32.750326,11.940023,40,676.2248151047311,41.05844873750001,717.2832638422311
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_720p,720,1280,720,yuv420p,59.94006309,5956076,71,30.075702,1.390436,50,590.2530405680961,19.93719197202353,610.1902325401197
HDR_2160P-06ae,HDR_2160P-06ae,2160,3840,2160,yuv420p10le,24,4767631,170925,50.327779,99.983808,10,18826.330681038435,888.2459837965307,19714.576664834967
HDR_2160P-06ae,HDR_2160P-06ae,2160,3840,2160,yuv420p10le,24,4767631,67250,43.229619,98.298809,20,12215.644900020014,590.6714653254553,12806.316365345469
HDR_2160P-06ae,HDR_2160P-06ae,2160,3840,2160,yuv420p10le,24,4767631,15081,36.299367,83.531488,30,6917.27798,357.7278808,7275.00586
