video_name,vid,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,target_encode_energy_uj,decode_energy_uj,total_energy_uj
Gaming_2160P-3002,Gaming_2160P-3002,2160,3840,2160,yuv420p,24,2388797,2085,37.257952,65.511955,40,8638.173864883085,319.70333166666666,8957.877196549753
Gaming_2160P-3002,Gaming_2160P-3002,2160,3840,2160,yuv420p,24,2388797,704,31.689127,32.679315,50,6782.140227805556,212.8922105,6995.032438305556
Gaming_2160P-3002,Gaming_2160P-3002_downsample_1080p,1080,1920,1080,yuv420p,24,2388797,29657,47.67671,99.449584,10,6144.450002782004,524.9305389068099,6669.3805416888135
Gaming_2160P-3002,Gaming_2160P-3002_downsample_1080p,1080,1920,1080,yuv420p,24,2388797,8992,44.346724,96.273791,20,4179.305920248509,292.78246015432103,4472.08838
Gaming_2160P-3002,Gaming_2160P-3002_downsample_1080p,1080,1920,1080,yuv420p,24,2388797,2664,39.526415,77.030156,30,2985.1015892084383,184.99649835077523,3170.0980875592136
Gaming_2160P-3002,Gaming_2160P-3002_downsample_1080p,1080,1920,1080,yuv420p,24,2388797,725,34.00309,44.178074,40,2176.5340967185484,123.6377849691358,2300.171881687684
Gaming_2160P-3002,Gaming_2160P-3002_downsample_1080p,1080,1920,1080,yuv420p,24,2388797,231,29.140086,13.107971,50,1778.2127027201789,82.35252656140351,1860.5652292815823
Gaming_2160P-3002,Gaming_2160P-3002_downsample_720p,720,1280,720,yuv420p,24,2388797,16766,44.485726,97.562404,10,3439.240742,344.1929098734178,3783.4336520087377
Gaming_2160P-3002,Gaming_2160P-3002_downsample_720p,720,1280,720,yuv420p,24,2388797,5216,41.846441,88.868261,20,2448.872697785195,201.5904615,2650.463159310196
Gaming_2160P-3002,Gaming_2160P-3002_downsample_720p,720,1280,720,yuv420p,24,2388797,1515,37.321014,63.320117,30,1680.410436152389,121.87659993279568,1802.2870360851844
Gaming_2160P-3002,Gaming_2160P-3002_downsample_720p,720,1280,720,yuv420p,24,2388797,383,32.152001,31.05227,40,1142.8743468100365,91.71441276315792,1234.5887595731942
Gaming_2160P-3002,Gaming_2160P-3002_downsample_720p,720,1280,720,yuv420p,24,2388797,120,27.79033,4.271318,50,840.7286594,60.511649942307685,901.2403093741256
Gaming_2160P-34a1,Gaming_2160P-34a1,2160,3840,2160,yuv420p,60,5971994,82095,53.646651,99.073015,10,45406.93757309519,1527.453119310345,46934.39069240553
Gaming_2160P-34a1,Gaming_2160P-34a1,2160,3840,2160,yuv420p,60,5971994,19122,48.241997,97.51033,20,27037.82494886165,946.5984739130432,27984.423422774693
Gaming_2160P-34a1,Gaming_2160P-34a1,2160,3840,2160,yuv420p,60,5971994,4220,43.304133,89.154162,30,18210.75575178083,549.0113681818183,18759.76711996265
Gaming_2160P-34a1,Gaming_2160P-34a1,2160,3840,2160,yuv420p,60,5971994,1211,37.735711,69.118897,40,13801.069057965517,435.9144825,14236.983540465517
Gaming_2160P-34a1,Gaming_2160P-34a1,2160,3840,2160,yuv420p,60,5971994,544,32.7232,43.548385,50,11954.51324388693,430.8055013,12385.31874513693
Gaming_2160P-34a1,Gaming_2160P-34a1_downsample_1080p,1080,1920,1080,yuv420p,60,5971994,28526,43.359908,93.891265,10,10750.198267316076,754.4895013080169,11504.687768624091
Gaming_2160P-34a1,Gaming_2160P-34a1_downsample_1080p,1080,1920,1080,yuv420p,60,5971994,5779,42.071824,88.792299,20,6309.024733163172,391.7616375719298,6700.786370735102
Gaming_2160P-34a1,Gaming_2160P-34a1_downsample_1080p,1080,1920,1080,yuv420p,60,5971994,1441,39.375113,75.654096,30,4404.743027250283,249.37643624293776,4654.119463493221
